Rk,Player,Pos,Tm,Cap Hit
331,Greg Zuerlein\ZuerGr00,K,LAR,"$2,050,000 "
332,Danny Shelton\ShelDa01,DT,NWE,"$2,030,954 "
333,Bennie Logan\LogaBe00,DT,TEN,"$2,000,000 "
334,Von Miller\MillVo00,LB,DEN,"$2,000,000 "
335,Robbie Gould\gouldrob01,K,SFO,"$2,000,000 "
336,Damion Square\SquaDa00,DE,LAC,"$2,000,000 "
337,Marcus Gilchrist\GilcMa00,DB,OAK,"$2,000,000 "
338,Ryan Jensen\JensRy00,T,TAM,"$2,000,000 "
339,Tyler Lockett\LockTy00,WR,SEA,"$2,000,000 "
340,Lee Smith\SmitLe00,TE,OAK,"$2,000,000 "
341,T.J. Carrie\CarrTr00,CB,CLE,"$2,000,000 "
342,Ryan Fitzpatrick\FitzRy00,QB,TAM,"$2,000,000 "
343,Chase Daniel\DaniCh00,QB,CHI,"$2,000,000 "
344,Richard Sherman\SherRi00,DB,SFO,"$2,000,000 "
345,Zack Martin\MartZa00,OT,DAL,"$2,000,000 "
346,Derrick Shelby\ShelDe00,DE,ATL,"$2,000,000 "
347,Dion Lewis\LewiDi00,RB,TEN,"$2,000,000 "
348,Devonta Freeman\FreeDe00,RB,ATL,"$2,000,000 "
349,Tyrann Mathieu\MathTy00,CB,HOU,"$2,000,000 "
350,Matt Prater\PratMa20,K,DET,"$2,000,000 "
351,Tramaine Brock\BrocTr00,DB,DEN,"$2,000,000 "
352,Anthony Sherman\SherAn00,RB,KAN,"$2,000,000 "
353,Andrew Norwell\NorwAn01,G,JAX,"$2,000,000 "
354,Kyle Van Noy\VanNKy00,OLB,NWE,"$2,000,000 "
355,Chris Thompson\ThomCh03,RB,WAS,"$1,996,000 "
356,Andrus Peat\PeatAn00,OT,NOR,"$1,988,657 "
357,DeVante Parker\ParkDe01,WR,MIA,"$1,918,165 "
358,Ricardo Allen\AlleRi00,CB,ATL,"$1,914,000 "
359,Greg Mancz\MancGr00,C,HOU,"$1,907,000 "
360,Grady Jarrett\JarrGr00,DT,ATL,"$1,907,000 "
361,Brent Qvale\QvalBr01,T,NYJ,"$1,907,000 "
362,Jamison Crowder\CrowJa00,WR,WAS,"$1,907,000 "
363,Jesse James\JameJe00,TE,PIT,"$1,907,000 "
364,Daryl Williams\WillDa06,OT,CAR,"$1,907,000 "
365,Tyeler Davison\DaviTy01,DT,NOR,"$1,907,000 "
366,Josh Bellamy\BellJo02,WR,CHI,"$1,907,000 "
367,JJ Nelson\NelsJJ00,WR,ARI,"$1,907,000 "
368,Jordan Hicks\HickJo00,OLB,PHI,"$1,907,000 "
369,Danielle Hunter\HuntDa01,DE,MIN,"$1,907,000 "
370,T.J. Jones\JoneT.00,WR,DET,"$1,907,000 "
371,Henry Anderson\AndeHe00,DE,NYJ,"$1,907,000 "
372,Anthony Chickillo\ChicAn00,DE,PIT,"$1,907,000 "
